experimentId	observableId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution	datasetId
experiment____model1_data3	observable_pSTAT5	7.644693901	10.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	30.339995	15.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	34.49644889	20.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	54.73958911	25.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	48.86794422	30.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	57.76829847	35.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	68.400004	40.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	57.5319745	45.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	84.08635186	50.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	80.47435164	60.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	66.61604471	70.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	57.65815916	80.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	52.79857246	100.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	56.17671662	120.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data4	observable_RecSurf	1.321308168	0.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data4_RecSurf
experiment____model1_data4	observable_RecSurf	1.179069779	10.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data4_RecSurf
experiment____model1_data4	observable_RecSurf	1.042164123	20.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data4_RecSurf
experiment____model1_data4	observable_RecSurf	1.056526564	30.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data4_RecSurf
experiment____model1_data4	observable_RecSurf	1.056091246	60.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data4_RecSurf
experiment____model1_data4	observable_RecSurf	1.078735295	90.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data4_RecSurf
experiment____model1_data4	observable_RecSurf	0.929233191	120.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data4_RecSurf
experiment____model1_data4	observable_IL13_cell	9.781760071	5.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data4_IL13_cell
experiment____model1_data4	observable_IL13_cell	9.951745778	10.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data4_IL13_cell
experiment____model1_data4	observable_IL13_cell	10.67418503	15.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data4_IL13_cell
experiment____model1_data4	observable_IL13_cell	11.24846107	20.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data4_IL13_cell
experiment____model1_data4	observable_IL13_cell	12.74732152	30.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data4_IL13_cell
experiment____model1_data4	observable_IL13_cell	12.39816169	40.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data4_IL13_cell
experiment____model1_data4	observable_IL13_cell	10.96936291	50.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data4_IL13_cell
experiment____model1_data4	observable_IL13_cell	8.286345273	60.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data4_IL13_cell
experiment____model1_data4	observable_IL13_cell	11.34493944	80.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data4_IL13_cell
experiment____model1_data4	observable_IL13_cell	11.19792478	100.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data4_IL13_cell
experiment____model1_data4	observable_IL13_cell	10.55243851	120.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data4_IL13_cell
experiment____model1_data4	observable_SOCS3	6.04829306	0.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data4_SOCS3
experiment____model1_data4	observable_SOCS3	6.231540693	20.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data4_SOCS3
experiment____model1_data4	observable_SOCS3	87.45060405	40.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data4_SOCS3
experiment____model1_data4	observable_SOCS3	103.2714398	60.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data4_SOCS3
experiment____model1_data4	observable_SOCS3	221.7408479	80.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data4_SOCS3
experiment____model1_data4	observable_SOCS3	262.8501062	100.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data4_SOCS3
experiment____model1_data4	observable_SOCS3	140.7680663	120.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data4_SOCS3
